college,display_name,collegeId,n_players,leagues,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6
Itawamba CC MS,Itawamba CC MS,110181,1,nfl,itawamba,,,,,
Ithaca,Ithaca,175,2,"nfl, mlb",,,,,,
Jackson State,Jackson State,2296,33,nfl,jackson st,,,,,
Jacksonville,Jacksonville,294,16,"nfl, mlb",Jacksonville,,,,,
Jacksonville State,Jacksonville State,55,26,nfl,Jacksonville st,Jacksonville,,,,
James Madison,James Madison,256,45,"nfl, mlb",jmu,,,,,
Jamestown,Jamestown,2939,1,nfl,,,,,,
John A. Logan College,John A. Logan College,110190,1,mlb,john a logan,john logan college,,,,
John Carroll,John Carroll,2302,2,nfl,jcu,,,,,
Johnson & Wales (Miami),Johnson & Wales (Miami),543,6,nfl,johnson & wales,johnson and wales,,,,
Johnson C. Smith,Johnson C. Smith,2304,1,nfl,johnson c smith,johnson smith,,,,
Judson College,Judson College,546,1,nfl,judson,,,,,
Kansas,Kansas,2305,109,"nfl, nba, mlb",ku,,,,,
Kansas State,Kansas State,2306,160,"nfl, nba, mlb",kansas st,,,,,
Kansas Wesleyan Univ,Kansas Wesleyan Univ,547,2,nfl,kansas wesleyan,,,,,
Kaskaskia CC IL (J.C.),Kaskaskia CC IL (J.C.),110196,1,mlb,kaskaskia,,,,,
Kennesaw State,Kennesaw State,338,10,"nfl, mlb",kennesaw,kennesaw st,,,,
Kent State,Kent State,2309,49,"nfl, mlb",kent,,,,,
Kentucky,Kentucky,96,199,"nfl, nba, mlb",uk,,,,,
Kentucky State,Kentucky State,2310,4,nfl,kentucky st,,,,,
Kentucky Wesleyan,Kentucky Wesleyan,2316,1,nfl,,,,,,
Knoxville College,Knoxville College,2314,1,nfl,knoxville,,,,,
Kutztown,Kutztown,2315,7,nfl,,,,,,
LA Valley College,LA Valley College,3115,1,mlb,lavc,los angeles Valley College,,,,
LSU,LSU,99,304,"nfl, nba, mlb",lousiana state,lousiana state university,,,,
La Salle,La Salle,2325,1,nfl,lasalle,,,,,
LaGrange College,LaGrange College,548,1,nfl,lagrange,,,,,
Lafayette,Lafayette,322,6,"nfl, mlb",,,,,,
Lake City CC FL,Lake City CC FL,110211,1,mlb,lake city,,,,,
Lake Erie,Lake Erie,437,1,nfl,,,,,,
Lake Superior State,Lake Superior State,285,2,nhl,lake superior st,,,,,
Lamar,Lamar,2320,11,"nfl, mlb",,,,,,
Lambuth,Lambuth,2321,2,nfl,,,,,,
Lane College,Lane College,2323,7,"nfl, mlb",lane,,,,,
Langston,Langston,2324,2,nfl,,,,,,
Lansing CC MI,Lansing CC MI,110218,1,mlb,lansing,lansing community college,,,,
Lawrence University,Lawrence University,268,2,nfl,lawrence u,lawrence,,,,
Lehigh,Lehigh,2329,13,"nfl, nba, mlb",,,,,,
Lehman College,Lehman College,180,1,nfl,lehman,,,,,
Lenoir-Rhyne,Lenoir-Rhyne,2331,5,"nfl, mlb",lenoir,rhyne,lenoir rhyne,,,
Lewis-Clark State,Lewis-Clark State,2334,3,mlb,lewis clark st,lewis clark state,,,,
Liberty,Liberty,2335,40,"nfl, nba, mlb",,,,,,
Limestone,Limestone,2336,3,nfl,,,,,,
Lindenwood,Lindenwood,2815,9,"nfl, nhl",,,,,,
Lipscomb,Lipscomb,288,6,"nba, mlb",,,,,,
Little Rock,Little Rock,2031,3,"nba, mlb",ark little rock,arkansas little rock,,,,
Livingstone,Livingstone,2940,2,nfl,,,,,,
Lock Haven University,Lock Haven University,209,4,nfl,lock haven,,,,,
Long Beach State,Long Beach State,299,22,"nfl, mlb",lbsu,long beach,long beach st,,,
Long Island University,Long Island University,2341,3,mlb,liu,long island,long island u,,,
Los Angeles Harbor Coll. CA (J.C.),Los Angeles Harbor Coll. CA (J.C.),110229,1,mlb,los angeles harbor,los angeles harbor college,la harbor,,,
Louisiana,Louisiana,309,81,"nfl, nba, mlb",,,,,,
Louisiana Christian,Louisiana Christian,2347,1,nfl,,,,,,
Louisiana Tech,Louisiana Tech,2348,82,"nfl, nba, mlb",la tech,lousiana tech university,,,,
